,country,description,designation,points,price,province,first_region,second_region,taster_name,taster_twitter_handle,title,variety,winery,Latitude,Longitude
779,US,"Structured, with years to go to take on added complexity and personality, this wine is also a study in immediate gratification, as it's presently so juicy and easy to enjoy. It comes from an east-facing block, planted to a suitcase clone. Exotic, rich red and black berry and cinnamon form an alliance of balance and mouthwatering seduction. The oak and tannin are fully in sync, while a salty, meaty finish provides additional decadence.",The Traveler,98,155,California,Fort Ross-Seaview,Sonoma,Virginie Boone,@vboone,Wayfarer 2014 The Traveler Pinot Noir (Fort Ross-Seaview),Pinot Noir,Wayfarer,38.5142596,-123.2435574
21659,US,"The second release of FigginsÉ??a single wine produced by Leonetti's Chris FigginsÉ??is astonishing. Tasted in a lineup of exceptional Walla Walla reds, it outshined them all. It's a sophisticated blend of Cabernet Sauvignon, Petit Verdot and Merlot, from the Figgins Vineyard, with gorgeous aromas of flowers, spices and black fruits. Seamless and long, complex and forceful without being overpowering, it can stand alongside top tier Bordeaux costing four or five times as much.",Estate,98,85,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Figgins 2009 Estate Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,Figgins,46.0655953,-118.3387429
19941,US,"This bold, broad-shouldered wine shows focused truffle, gravel and cassis flavors. Densely layered, it's 100% varietal, 100% barrel-fermented and further aged in new French oak. With its firm structure, it shows plenty of ability to age and will be best from 2022 through 2023.",Beckstoffer Las Piedras,98,250,California,St. Helena,Napa,Virginie Boone,@vboone,Alpha Omega 2012 Beckstoffer Las Piedras Cabernet Sauvignon (St. Helena),Cabernet Sauvignon,Alpha Omega,-15.9650104,-5.7089241
18849,US,"This remarkable wine from the famed family-farmed, organic estate impresses immediately in its depth of concentration and stately grace, imparting a wealth of rose-garden compost and wild truffle on the nose. Within the vibrant range of sensual flavor is salted caramel, black cherry and chocolate, alongside a twist of saddle and campfire coffee. Its grip of focused tannin suggests years of aging potential; enjoy best from 2023 to 2033.",Family Estate Grown,98,185,California,St. Helena,Napa,Virginie Boone,@vboone,Spottswoode 2013 Family Estate Grown Cabernet Sauvignon (St. Helena),Cabernet Sauvignon,Spottswoode,-15.9650104,-5.7089241
14171,US,"A subtle, complex, utterly distinctive mix of flavors, with opening streaks of butter cookie, then mushroom broth, tightly wound berry fruit, earthy coffee grounds and even darker streaks of espresso and smoke and licorice. It is deeply layered with flavors that just keep piling on. Amazing wine.",En Cerise Vineyard,98,70,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Cayuse 2008 En Cerise Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Cayuse,46.0655953,-118.3387429
19942,US,"From another of the grower's impressive, coveted sites, this wine imparts soft, dusty cherry, cassis and pomegranate notes, with a luxurious tease of vanilla and coconut macaroon. Full-bodied and robustly built, it's 100% varietal and barrel-fermented and finishes on a compelling streak of cedar, herb and graphite.",Beckstoffer Missouri Hopper,98,250,California,Oakville,Napa,Virginie Boone,@vboone,Alpha Omega 2012 Beckstoffer Missouri Hopper Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Alpha Omega,43.467517,-79.6876659
19943,US,"From one of the warmest sites in the grower's stable, this barrel-fermented, 100% varietal wine is beguiling in its complete embrace of ripe, supple sunshine. A grip of oak tannin helps support the exuberant, juicy, dark blue fruit, further defined by its soft texture and underlying, focused acidity.",Beckstoffer Dr. Crane,98,250,California,St. Helena,Napa,Virginie Boone,@vboone,Alpha Omega 2012 Beckstoffer Dr. Crane Cabernet Sauvignon (St. Helena),Cabernet Sauvignon,Alpha Omega,-15.9650104,-5.7089241
18769,US,"Seductively smooth and intriguingly aromatic, this blend of several knock-out vineyards along Westside RoadÉ??Allen, Bacigalupi, Bucher, Rochioli Riverblock and Williams Selyem EstateÉ??is instantly delicious, sharing a concentration of cherry, strawberry and citrus that perfectly captures the essence of the fruit, accented by a tease of black tea. An earthy minerality wraps around dry, polished tannins, with a streak of just-right acidity, giving it a realm of juiciness and flavorful sophistication. Enjoy through 2023.",Westside Road Neighbors,98,69,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Williams Selyem 2013 Westside Road Neighbors Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem,38.483083,-122.80327
8098,US,"The immediate impression is of savory umami aromas pierced with pine needle and sage highlights. Red and black licorice, along with sweet cured meats, bring complexity to fruit flavors of berry, cherry and plum. Toss in Proven??al spices, coffee grounds and the classic Cayuse earthiness that continues through a deep, firm, beautifully defined finish. Drink now through 2030.",En Cerise Vineyard,98,75,Oregon,Walla Walla Valley (OR),Oregon Other,Paul Gregutt,@paulgwine?ˇ,Cayuse 2011 En Cerise Vineyard Syrah (Walla Walla Valley (OR)),Syrah,Cayuse,46.0655953,-118.3387429
4528,US,"This is an incredibly beautiful and yes, joyful, sparkler, made from equal parts Chardonnay and Pinot Noir. This particular offering was disgorged in July 2016. It positively impresses in minerality, complemented by a more fulsome sense of lemon, apple and hazelnut on the creamy palate, leaving a rich trail of silk on the finish.",Joy! Estate Bottled,98,250,California,Green Valley,Sonoma,Virginie Boone,@vboone,Iron Horse 2003 Joy! Estate Bottled Sparkling (Green Valley),Sparkling Blend,Iron Horse,31.8542511,-110.9937019
20131,US,"Sourced from Red Willow, Olsen and Les Collines, this is the finest effort yet from Gramercy Cellars and one of the greatest Syrahs ever produced in Washington state. Think Hermitage with brighter fruit. It's intensely aromatic, dense and seamless, stacked with rich flavors of mixed berries, layers of smoke, earth and herb, and punctuated by citrusy acidity. Highlights of oranges and tangerines sneak into the finish, which lingers for an astonishingly long time. Exceptional in every way.",Lagniappe,98,55,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Gramercy 2010 Lagniappe Syrah (Columbia Valley (WA)),Syrah,Gramercy,48.9220655,-122.1390398
14191,US,"An Amaro-like mix of bitters and herbs; this is exceptionally dense and dark. The fruit is a grace note; the big flavors come from herb, earth, rock, barrel and more. Licorice, baking spices, smoke, black cherry, Bourbon barrel, and on it goes. Huge and dense and seemingly endless.",Royal City,98,140,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Charles Smith 2008 Royal City Syrah (Columbia Valley (WA)),Syrah,Charles Smith,48.9220655,-122.1390398
5957,US,"Like a pastry shop in a glass, this rare treat of a well-aged bubbly smells of cream, butter and nutmeg, and tastes like baked apples, almonds and vanilla. Although not sweet, its generous fruit, spice and nut nuances build on the crisp but smooth texture and linger on the finish. From a cool vintage that produced long-lived wines, this is irresistible now but should keep through 2020.",J. Schram 50 Late Disgorged,97,175,California,North Coast,North Coast,Jim Gordon,@gordone_cellars,Schramsberg 1999 J. Schram 50 Late Disgorged  (North Coast),Champagne Blend,Schramsberg,33.2359409,-117.255003
19707,US,"A seriously top of the heap California Syrah. This complex, interesting wine sings of black pepper and garrigue, fleshy in just-ripe cherry, leather and dark plum. From the mountainous Fenaughty Vineyard, always a good source, it finishes long and will age gorgeously if you can possibly wait to drink it; that pepper will mellow in interesting ways.",Fenaughty Vineyard,97,35,California,El Dorado,Sierra Foothills,Virginie Boone,@vboone,Donkey & Goat 2010 Fenaughty Vineyard Syrah (El Dorado),Syrah,Donkey & Goat,37.8167564,-96.8869965
9582,US,"Jaw-dropping on all fronts, this wine by the pioneering Franscioni family approaches regional perfection. Black plum fruit meets with dried violet and lavender on the extremely well-integrated nose, while a mineral tension frames the palate. Flavors of black plum and blackberry jam are cut by rocky earth and wild mint, and the acidity is vibrant but not overpowering.",Garys' Vineyard,97,58,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Roar 2014 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Roar,36.4307709,-121.4203754
19944,US,"This 100% varietal, barrel-fermented wine from the hallowed site delivers a grip of tension and balanced weight, providing power within its layers of texture. Earthy and pungent with tobacco and herb scents, it offers leather, cedar and black cherry flavors in equal amounts, finishing with length and grace.",Beckstoffer To Kalon,97,250,California,Oakville,Napa,Virginie Boone,@vboone,Alpha Omega 2012 Beckstoffer To Kalon Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Alpha Omega,43.467517,-79.6876659
15775,US,"The 2005 Leonetti Reserve is all estate vineyard fruitÉ??63% Cabernet Sauvignon, 17% Merlot and 20% Petit Verdot. It is saturated and dense. The fruit is dark, smoky, herbal, tight and loaded with licorice, tea leaf, black olive, hints of tar and graphite. Tannins are in perfect proportion, polished and ripe, with extra texture and weight. The finish is granular and detailed, but delicious accent flavors of almond candy and nougat keep piling into the extraordinary finish.",Reserve Red Wine,97,125,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Leonetti Cellar 2005 Reserve Red Wine Red (Walla Walla Valley (WA)),Red Blend,Leonetti Cellar,46.0655953,-118.3387429
18770,US,"This wine is deliciously elegant yet decadently rich in all the right ways, from a prime, longtime vineyard source planted to vines over 40 years old. Honeyed apple comes to the fore amid lush, formidable layers of complexity and high-minded pursuit, never getting bogged down, the minerality perfectly pitched and the oak fully integrated.",Ritchie Vineyard,97,65,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Ramey 2012 Ritchie Vineyard Chardonnay (Russian River Valley),Chardonnay,Ramey,38.483083,-122.80327
16810,US,"The most round, smooth and full in terms of mouthfeel of all the Cayuse Syrahs, this is excellent in every way. Dark and meaty, it's tightly wound and dense with black and roasted fruits, smoke, carpaccio and cacao. The Armada Syrah offers outstanding length, depth and complexity.",Armada Vineyard,97,90,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Cayuse 2010 Armada Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Cayuse,46.0655953,-118.3387429
9150,US,"This wine is a standout in an outstanding portfolio of 2013 vineyard- and block-designated wines from this producer. Five Sisters is big and burly at first, a fistful of leather and Asian baking spices that demands notice. Then subtlety takes over in lithe, sinewy waves of blueberry and blackberry, followed by a touch of licorice on the nearly endless finish.",Five Sisters,97,100,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar 2013 Five Sisters Pinot Noir (Russian River Valley),Pinot Noir,Lynmar,38.483083,-122.80327
20132,US,"This wine headlines the Charles Smith lineup, and has established a breathtakingly complex and rich style, that varies in saturation with each vintage but remains consistent in its flavors. Clove, baking spices and maple syrup flavors trump the ripe fruits that remain more in the background. Delicious now, or cellar for a few more years.",Royal City,97,140,Washington,Washington,Washington Other,Paul Gregutt,@paulgwine?ˇ,Charles Smith 2010 Royal City Syrah (Washington),Syrah,Charles Smith,47.7510741,-120.7401385
15517,US,"From Northridge Vineyard grapes, this mix of four clones spent more than two years in barrel. Tremendous depth and complexity are apparent on the nose, and there is no let-down on the palate. It's a seriously powerful wine, with muscle and magic. It opens generously into beautifully integrated layers of ripe fruit, confection, candied rind, cacao and a finishing touch of minerality.",The Hidden,97,70,Washington,Wahluke Slope,Columbia Valley,Paul Gregutt,@paulgwine?ˇ,K Vintners 2009 The Hidden Syrah (Wahluke Slope),Syrah,K Vintners,46.7643025,-119.6166988
14790,US,"As good as any P??re de Famille to date, this brilliantly crafted wine jumps from the glass immediately with a rainbow of blue, purple and black fruits. The scents and flavors are dense and seamless, the tannins polished and graceful, and the barrel aging puts the last dabs of paint on a winemaking masterpiece.",P??re de Famille,97,68,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Betz Family 2010 P??re de Famille Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Betz Family,48.9220655,-122.1390398
14079,US,"A thoroughly elegant, serious and yet immensely enjoyable wine that stays lively many days after opening, this bottling from a regional icon shows dried violets, dried strawberry, crushed pepper and touches of leather and soy on the wondrous nose. Lithe black plum and elderberry fruits ride along a tight but forgiving tannic structure, with support from crushed gravel, asphalt, potpourri, sandalwood and cedar flavors.",Estate,97,100,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Kathryn Kennedy 2012 Estate Cabernet Sauvignon (Santa Cruz Mountains),Cabernet Sauvignon,Kathryn Kennedy,37.1108921,-121.8448906
19945,US,"This 100% varietal and barrel-fermented wine is a remarkable study in power and grace. Black cherry, cigar box and cedar bark flavors and an invitingly sweet sensation of tannin are supported by bright, lingering acidity and supple complexity.",Beckstoffer Georges III,97,250,California,Rutherford,Napa,Virginie Boone,@vboone,Alpha Omega 2012 Beckstoffer Georges III Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Alpha Omega,37.09024,-95.712891
14172,US,"This is the only Cayuse Syrah that is co-fermented (with 8% Viognier), which adds nuances of white flower and floral, though the citrus rind scents override them. In the nose it's hugely expressive, though still quite tight and compact in the mouth; it must be decanted. It's a three ring circus of a wine, with things moving and shaking in all directions. Mineral, berry, mountain complexity, nuanced herb and earth and citrus, all in proportion, and all flowing in the mouth.",Cailloux Vineyard,97,70,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Cayuse 2008 Cailloux Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Cayuse,46.0655953,-118.3387429
18850,US,"Mocha, baked plum and black pepper play equal roles in this stunning, full-bodied beauty from the famous site, all within a tightly focused, integrated experience of seamless texture and structure. Richly concentrated and yet able to find a balance of acidity and freshness within its voluptuous nature, this wine impresses from end to end and will do well in the cellar; enjoy best from 2023 to 2025.",Beckstoffer To Kalon Vineyard,97,175,California,Oakville,Napa,Virginie Boone,@vboone,Macauley 2013 Beckstoffer To Kalon Vineyard Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Macauley,43.467517,-79.6876659
5583,US,"This is beautifully lilting in preciously defined aromas of rose petal and wild strawberry. From there, it's all subtlety and ethereal elegance. The wine is restrained, nurtured in a basket of nutmeg and graham cracker, as well as freshly packed mushroomy earth. This wine is a stunner right out of the glass, but is sure to continue its fine course through 2022É??2025.",Bucher Vineyard,97,59,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Williams Selyem 2012 Bucher Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem,38.483083,-122.80327
5055,US,"It's hard to overstate how deliciously irresistible this wine is, a celebration of the variety that makes a statement of greatness from the first sip to the last. Golden-hued minerality is the star and pillar of support, a worthy dance partner to the twirls of lacy lemon pith, fully expressive tangerine, grapefruit and stone. Lively and complex, it showcases beauty in a glass.",La Sereinit??,97,70,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar 2014 La Sereinit?? Chardonnay (Russian River Valley),Chardonnay,Lynmar,38.483083,-122.80327
8100,US,"From an estate block planted to a mysterious suitcase clone, this is an insanely memorable and indelible Pinot. High in acidity, it discloses a touch of cedar on the back palate, richly luxurious and just aching for wild Sonoma duck adorned in a cherry reduction sauce. Cherry pit, berry, lavender and violet play on the nose and tongue, infusing the wine with a playfulness balanced by power.",The Traveler,97,150,California,Fort Ross-Seaview,Sonoma,Virginie Boone,@vboone,Wayfarer 2012 The Traveler Pinot Noir (Fort Ross-Seaview),Pinot Noir,Wayfarer,38.5142596,-123.2435574
7706,US,"Named for winemaker Ross Cobb's late mother, who more than 20 years ago planted the Coastlands Vineyards' dry-farmed vinesÉ??some of the oldest in the regionÉ??this exquisitely distinctive wine celebrates all that is extreme and remarkable about the marriage of site, style and variety. Offering bay laurel in abundance, it has plenty of body to remain vibrant and complex, marked entirely in forest floor and heady allspice, with a nuance of cherry and white pepper on the finish.",Diane Cobb Coastlands Vineyard,97,85,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Cobb 2012 Diane Cobb Coastlands Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Cobb,38.4052701,-123.096764
781,US,"Dark, brooding cinnamon and fleshy black plum provide an exciting, complex counterpoint to the rakish earthiness and exotic Asian spice going on in this full-bodied, explosively compelling wine, its minerality lingering. It's young and still tightly coiled, with lingering minerality; let it open to enjoy now, but it would show best after some time, so cellar through 2024.",Golden Mean,97,115,California,Fort Ross-Seaview,Sonoma,Virginie Boone,@vboone,Wayfarer 2014 Golden Mean Pinot Noir (Fort Ross-Seaview),Pinot Noir,Wayfarer,38.5142596,-123.2435574
780,US,"This wine is insanely good, from a dry-farmed, yes, rocky outcropping of vines planted first in 1910, then again in 1934 and the 1970s, with Carignane and Petite Sirah in the mix. It's thick, rich and beautifully put-together, full bodied and entirely balanced, with markings of cherry cordial and white pepper that seduce gently.",Rocky Knoll,97,50,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Limerick Lane 2013 Rocky Knoll Zinfandel (Russian River Valley),Zinfandel,Limerick Lane,38.483083,-122.80327
20440,US,"Despite its lighter color, this wine explodes from the glass with a complex, near-endless list of aromas that include sea breeze, crushed flowers, peat, green olive, fire pit, smoked meat, pepper, orange peel and sea salt. Its ethereal, elegant style belies the outrageously rich, exquisitely flavorful savory notes that won't quit, offering a completely captivating walk on the variety's wild side.",Sur Echalas Vineyard,97,115,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Horsepower 2012 Sur Echalas Vineyard Grenache (Walla Walla Valley (WA)),Grenache,Horsepower,46.0655953,-118.3387429
8008,US,"Dense and concentrated, this has thick, almost jammy blue and purple fruits, with a peppery highlight and an undercurrent of sweet grain. The palate is tight, featuring layers of cassis, ink, anise, coffee and iodine, with an earthy salinity that runs through the finish. The Armada is perhaps a bit less fruity and more austere than the other 2009 Cayuse Syrahs, but is every inch their equal.",Armada Vineyard,97,85,Oregon,Walla Walla Valley (OR),Oregon Other,Paul Gregutt,@paulgwine?ˇ,Cayuse 2009 Armada Vineyard Syrah (Walla Walla Valley (OR)),Syrah,Cayuse,46.0655953,-118.3387429
8099,US,"This glorious, evocative wine calls up a rich and sensuous catalog of scents and flavors. Black truffle, sea salt, clean earth, fungus, strawberry, liquid rocks, umami, tar...? the words pour out with each sniff and swallow. It's detailed, substantial and refined, gathering itself for a long, generous, captivating finish. Drink now through 2030.",Widowmaker En Chamberlin Vineyard,97,90,Oregon,Walla Walla Valley (OR),Oregon Other,Paul Gregutt,@paulgwine?ˇ,Cayuse 2011 Widowmaker En Chamberlin Vineyard Cabernet Sauvignon (Walla Walla Valley (OR)),Cabernet Sauvignon,Cayuse,46.0655953,-118.3387429
5678,US,"Sourced from old-vine Bacchus and Weinbau fruit, this also includes 20% grapes from the estate's Heather Hill vineyard. The aromas are dense and penetrating, with a powerful mix of black fruits, ripe berries, smoke, earth, olive and coffee. From the first sniff to the last swallow, the flavors are beautifully integrated and the effect symphonic.",Reserve,97,85,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Abeja 2007 Reserve Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Abeja,48.9220655,-122.1390398
8009,US,"Using grapes sourced entirely from the En Chamberlin Vineyard, this pure Cabernet is deep, dark, focused and tight, with firm but velvety tannins and a perfect mix of cassis, coffee and earth. Even more than previous years, this vintage displays astonishing depth and power. Flavors of Serrano ham and other cured meats, plus a delicate saltiness and minerality keep the flavors developing onto  the long, fascinating finish.",The Widowmaker,97,80,Oregon,Walla Walla Valley (OR),Oregon Other,Paul Gregutt,@paulgwine?ˇ,Cayuse 2009 The Widowmaker Cabernet Sauvignon (Walla Walla Valley (OR)),Cabernet Sauvignon,Cayuse,46.0655953,-118.3387429
8295,US,"The fragrance is almost otherworldly; sweet, dense and lightly lifted. This is a sinewy wine, that begins with compact power and focused, tart red fruitsÉ??predominantly raspberry and currant. At first juicy and tart, with hours of breathing time the wine broadens out into a wider spectrum of Cabernet fruits; cassis, blackberry and black cherry.",P??re de Famille,97,55,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Betz Family 2005 P??re de Famille Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Betz Family,48.9220655,-122.1390398
2749,US,"Marked by both reduction and oak, this wine feels lifted with acidity, opening in a vibrant shock of strawberry and Mandarin orange. Velvety layers subtle tannin carry a spicy finish of clove and salty sea air. A beautifully balanced, complete wine.",Two Birds Estate Grown,97,90,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Arista 2014 Two Birds Estate Grown Pinot Noir (Russian River Valley),Pinot Noir,Arista,38.483083,-122.80327
7756,US,"Expressive in oak, earth and clove with cinnamon-cola, this savory, complex wine is also impressive in its ability to offer crisp and focused lines of citrus and fresh-picked raspberry. It teeter-totters the variety's ability to be both fruit-forward and elusively hard to reach. Streaks of thyme and rosemary figure into the mix. Drink now through 2023.",Rochioli Riverblock Vineyard,97,79,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Williams Selyem 2013 Rochioli Riverblock Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem,38.483083,-122.80327
8104,US,"This is the winery's top Chardonnay, kept in bottle an extra year prior to release. Even in a challenging vintage such as 2011 it's a huge wine with astonishing concentration and power. The fruit has coiled intensityÉ??so potent that it seems ready to burst wide open. Ripe apple and peach, olive oil, toasted almonds and plenty of new oak flavors abound. It's a jaw-dropper, and may be drunk now through 2022.",R??colte Grand Cru,96,125,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine?ˇ,Domaine Serene 2011 R??colte Grand Cru Chardonnay (Dundee Hills),Chardonnay,Domaine Serene,45.277904,-123.018535
